#NEO-ADAR-TIGEN 1.0
Gene_Name	Edit-site	Neoantigen
HES4	chr1:g.999279A>G	No2
ISG15	chr1:g.1014084A>G	No2
SCNN1D	chr1:g.1281229A>G	No2
SCNN1D	chr1:g.1281248A>G	No2
SCNN1D	chr1:g.1284003A>G	No2
SCNN1D	chr1:g.1291373A>G	No2
ATAD3B	chr1:g.1495681A>G	No2
0DK	chr1:g.1759110A>G	No2
0DK	chr1:g.1759200A>G	No2
0DK	chr1:g.1759204A>G	No2
GNB1	chr1:g.1787344A>G	No2
PLCH2	chr1:g.2502701A>G	No2
PLCH2	chr1:g.2504186A>G	No3
PLCH2	chr1:g.2504641A>G	No2
TNFRSF14	chr1:g.2561720A>G	No2
TNFRSF14	chr1:g.2561784A>G	No2
TNFRSF14	chr1:g.2561785A>G	No2
TNFRSF14	chr1:g.2561799A>G	No2
TNFRSF14	chr1:g.2561800A>G	No2
ESPN	chr1:g.6424969A>G	No2
RERE	chr1:g.8614653A>G	No2
C1orf127	chr1:g.10947763A>G	No2
FBXO44	chr1:g.11658572A>G	No3
MIIP	chr1:g.12031801A>G	No2
VPS13D	chr1:g.12401673A>G	No2
UQCRHL	chr1:g.15807585A>G	WB
SPEN	chr1:g.15932779A>G	No2
SPEN	chr1:g.15934354A>G	WB
CLCNKA	chr1:g.16026189A>G	No3
FAM131C	chr1:g.16058555A>G	No2
CROCC	chr1:g.16971538A>G	No3
PADI2	chr1:g.17069158A>G	No3
VWA5B1	chr1:g.20342515A>G	No2
EIF4G3	chr1:g.20892711A>G	No3
AIM1L	chr1:g.26345126A>G	No3
GPN2	chr1:g.26879729A>G	No3
FAM46B	chr1:g.27012621A>G	No3
CD164L2	chr1:g.27382592A>G	No2
THEMIS2	chr1:g.27879972A>G	No3
THEMIS2	chr1:g.27885309A>G	No3
FAM167B	chr1:g.32247504A>G	No2
FAM167B	chr1:g.32247518A>G	No2
FAM167B	chr1:g.32247603A>G	WB
YARS	chr1:g.32787020A>G	No2
NCDN	chr1:g.35565623A>G	No2
COL8A2	chr1:g.36098009A>G	No2
COL8A2	chr1:g.36098271A>G	No2
COL8A2	chr1:g.36098404A>G	No2
COL8A2	chr1:g.36099111A>G	No3
EPHA10	chr1:g.37718471A>G	No2
ST3GAL3	chr1:g.43824883A>G	No2
DPH2	chr1:g.43971837A>G	No2
DPH2	chr1:g.43971842A>G	No2
DPH2	chr1:g.43971879A>G	No2
DPH2	chr1:g.43971919A>G	No2
CCDC24	chr1:g.43992354A>G	No2
MMACHC	chr1:g.45508804A>G	No2
MAST2	chr1:g.46035392A>G	No2
FOXD2	chr1:g.47439332A>G	No3
ECHDC2	chr1:g.52905035A>G	No2
GLIS1	chr1:g.53594418A>G	No2
TMED5	chr1:g.93154859A>G	WB
DPH5	chr1:g.101013728A>G	No3
GSTM5	chr1:g.109713674A>G	No3
GSTM5	chr1:g.109713682A>G	WB
GSTM5	chr1:g.109713684A>G	No3
GSTM5	chr1:g.109713738A>G	No2
NOTCH2	chr1:g.120005342A>G	No2
NBPF11	chr1:g.148104587A>G	No2
NBPF11	chr1:g.148104591A>G	No2
HIST2H2AC	chr1:g.149887325A>G	No2
HIST2H2AC	chr1:g.149887329A>G	SB
